,kernel_sizes,filters,pool_sizes,FC_nodes,lr,performance
80,"[10, 7, 6]","[4, 7, 10]","[6, 5, 2]","[64, 16]",0.0009920708369257872,"[0.2475481480360031, 0.2475481480360031]"
81,[6],[2],[6],"[32, 4]",0.0007283588249381853,"[2.371797800064087, 2.371797800064087]"
82,"[7, 6, 5]","[1, 19, 22]","[10, 8, 7]","[16, 4, 4]",0.00117084475849333,"[2.4844157695770264, 2.4844157695770264]"
83,"[10, 9, 3, 3, 1]","[7, 8, 19, 23, 23]","[8, 6, 5, 5, 4]","[8, 2]",4.8057714105945686e-05,"[28.162288665771484, 28.162288665771484]"
84,"[9, 4, 1]","[5, 7, 11]","[7, 4, 1]","[16, 2, 2]",0.003546326141268025,"[2.0982775688171387, 2.0982775688171387]"
85,"[7, 3]","[11, 22]","[7, 7]",[2],0.02967357288874742,"[2.0087578296661377, 2.0087578296661377]"
86,"[2, 1]","[16, 24]","[9, 2]","[64, 8]",6.743433782438169e-05,"[2.1071159839630127, 2.1071159839630127]"
87,[1],[5],[5],[2],0.000123086953593143,"[26.270488739013672, 26.270488739013672]"
88,"[10, 10, 2, 1]","[2, 12, 15, 15]","[10, 10, 4, 1]",[8],0.0008417172975544006,"[1.6926605701446533, 1.6926605701446533]"
89,"[6, 2, 2]","[1, 7, 18]","[9, 4, 4]",[8],5.930529731578603e-05,"[2.045849323272705, 2.045849323272705]"
90,[2],[9],[3],"[128, 8, 8]",0.007106168308273003,"[0.23760603368282318, 0.23760603368282318]"
91,"[7, 5, 3, 3]","[2, 6, 8, 20]","[9, 8, 4, 3]","[32, 4, 2]",0.0014801243762846967,"[6.533144950866699, 6.533144950866699]"
92,"[9, 6, 2, 1, 1]","[2, 5, 5, 11, 19]","[8, 8, 8, 6, 1]",[16],0.0005339506262104398,"[2.0854873657226562, 2.0854873657226562]"
93,"[9, 2]","[1, 14]","[6, 4]","[32, 16, 8]",0.03509465929432023,"[1.749100923538208, 1.749100923538208]"
94,"[9, 8, 7, 7]","[10, 10, 17, 19]","[10, 9, 3, 1]","[64, 16, 4]",2.039256641127527e-05,"[2.073073148727417, 2.073073148727417]"
95,[10],[5],[10],"[16, 16, 4]",0.0002348436365609474,"[23.63545036315918, 23.63545036315918]"
96,"[7, 3, 2]","[3, 11, 22]","[7, 2, 1]","[128, 64]",0.0005295662486049527,"[0.21273985505104065, 0.21273985505104065]"
97,"[7, 2]","[4, 15]","[4, 3]","[32, 16]",0.03839853806177262,"[1.943705677986145, 1.943705677986145]"
98,"[6, 5, 5, 3]","[3, 5, 13, 16]","[9, 7, 1, 1]",[2],1.498530675369832e-05,"[29.028303146362305, 29.028303146362305]"
99,"[8, 8, 3, 2]","[10, 12, 19, 22]","[9, 8, 8, 2]",[64],0.0015742895867207906,"[0.17440126836299896, 0.17440126836299896]"
100,[2],[14],[1],"[32, 4]",0.003446333845189763,"[0.25008973479270935, 0.25008973479270935]"
101,"[6, 4, 4, 4, 2]","[1, 3, 8, 16, 22]","[10, 10, 7, 5, 2]","[8, 2]",0.00011078513076287974,"[26.574308395385742, 26.574308395385742]"
102,"[10, 6, 5]","[13, 14, 23]","[4, 2, 1]","[64, 32]",1.8015762969486248e-05,"[2.006598949432373, 2.006598949432373]"
103,"[6, 3]","[21, 24]","[6, 3]",[4],7.401620759906937e-05,"[2.0370891094207764, 2.0370891094207764]"
104,[10],[11],[10],"[64, 16]",0.016205661696084936,"[0.17443490028381348, 0.17443490028381348]"
105,"[6, 5]","[2, 17]","[4, 1]","[32, 32, 8]",1.4309132376385439e-05,"[2.0294809341430664, 2.0294809341430664]"
106,"[9, 7, 6, 6, 2]","[5, 7, 15, 19, 22]","[9, 7, 3, 3, 3]","[64, 4, 2]",3.8305502416302436e-05,"[1.8523181676864624, 1.8523181676864624]"
