,kernel_sizes,filters,pool_sizes,FC_nodes,lr,performance
88,"[10, 9, 2]","[4, 16, 21]","[10, 9, 5]",[64],4.634415296644162e-05,"[0.9810795783996582, 0.9810795783996582]"
89,"[10, 7]","[14, 22]","[9, 5]","[64, 16, 2]",0.000415661490623581,"[0.9627035856246948, 0.9627035856246948]"
90,"[5, 4, 3, 1]","[8, 10, 15, 18]","[9, 8, 7, 6]","[128, 4, 2]",0.003572705595233212,"[0.5520605444908142, 0.5520605444908142]"
91,"[10, 7, 4]","[12, 16, 21]","[4, 2, 2]","[16, 8, 2]",4.805413440481317e-05,"[0.9788157939910889, 0.9788157939910889]"
92,"[9, 7, 2]","[3, 9, 15]","[7, 2, 2]",[128],0.0006886748631531246,"[0.9696226716041565, 0.9696226716041565]"
93,[2],[10],[9],"[64, 2]",0.00047444227789935847,"[0.9534599184989929, 0.9534599184989929]"
94,"[10, 9, 6, 6]","[6, 15, 18, 21]","[7, 6, 6, 5]","[64, 4]",0.008704853503853395,"[0.6730886697769165, 0.6730886697769165]"
95,"[10, 7, 5, 3]","[3, 14, 20, 24]","[10, 10, 4, 3]","[64, 32, 2]",4.2470699700971294e-05,"[0.9807425737380981, 0.9807425737380981]"
96,"[7, 6, 5]","[3, 5, 5]","[6, 4, 3]","[32, 32, 4]",2.832747589045617e-05,"[0.985874354839325, 0.985874354839325]"
97,"[8, 6, 6, 2, 1]","[1, 2, 4, 5, 13]","[9, 7, 5, 4, 4]","[64, 4, 2]",0.05133515789046771,"[0.8302468657493591, 0.8302468657493591]"
98,[8],[2],[8],"[8, 4, 4]",0.023740094493087727,"[0.5409657955169678, 0.5409657955169678]"
99,"[8, 7, 6, 3]","[4, 9, 14, 24]","[9, 8, 2, 2]","[128, 2]",0.0009266873945793956,"[0.9707886576652527, 0.9707886576652527]"
100,"[9, 9, 4, 2]","[6, 12, 14, 23]","[9, 1, 1, 1]",[8],0.010846043738705546,"[0.32266831398010254, 0.32266831398010254]"
101,[6],[12],[1],"[32, 4, 2]",0.03138857012634899,"[0.8171743750572205, 0.8171743750572205]"
102,"[10, 9, 5, 1]","[1, 9, 18, 23]","[10, 9, 7, 4]","[128, 64, 64]",5.298976230950615e-05,"[0.9863623380661011, 0.9863623380661011]"
103,"[10, 9, 3]","[10, 14, 24]","[9, 6, 4]","[32, 32, 4]",0.0044070362905185845,"[0.30984097719192505, 0.30984097719192505]"
104,"[6, 5, 3, 1]","[5, 16, 22, 24]","[9, 9, 4, 2]","[128, 64]",0.0003372326639551336,"[0.9549148678779602, 0.9549148678779602]"
